Date,ForecastedSales,LowerBound,UpperBound
2015-01-03,1561.1270844599323,-1121.7113685893478,4488.85901468404
2015-01-04,1264.0370593106647,-1376.8738807615393,3804.3506172967973
2015-01-05,1126.4420469580455,-1796.4149329458228,3949.464786130961
2015-01-06,1324.927541253922,-1439.9652221006302,3825.9178565872744
2015-01-07,782.2062745368928,-2095.51342481128,3562.9678318729348
2015-01-09,873.6945850839448,-1780.5690725712457,3793.180659715439
2015-01-10,1193.0441466252626,-1574.1933650817537,3816.1236762233793
2015-01-11,945.8371695185772,-1545.7774235048923,3822.1495951631746
2015-01-13,1114.7992501693182,-1598.5894180556652,3942.7998957478926
2015-01-14,627.5631901517513,-2280.420965612025,3365.6963559440987
2015-01-15,169.7042550809909,-2500.2869885105947,2977.5092719026156
2015-01-16,828.3232242714845,-2112.8384624526843,3473.6306307115215
2015-01-18,998.9922267168743,-1668.0875493337314,3782.2336589412935
2015-01-19,956.8890470803314,-1618.4277203680113,3712.527041085018
2015-01-20,1247.4479356921856,-1838.0731282080317,3849.704329983492
2015-01-23,1030.1339545255048,-1689.012689464787,3682.2823446535504
2015-01-26,1158.3390804412827,-1502.5444864404042,3865.862754601063
2015-01-27,1433.3501613041067,-1275.1018806398233,4055.246205324505
2015-01-28,953.1068691356801,-1840.522612614239,3662.8371756225506
2015-01-30,1128.3957830989054,-1740.2145463376348,3997.5369819305333
2015-01-31,1467.206881275159,-1290.7797525163223,4214.0422621805
2015-02-01,1223.0011001487103,-1737.7534668691142,3661.266425798268
2015-02-02,1126.3008332839129,-1576.658254925543,3859.8098882189142
2015-02-03,1353.5587072936205,-1389.7743487525718,3849.94738291838
2015-02-04,825.0127157306125,-2014.7480305011586,3662.024741642184
2015-02-06,908.9441076943591,-1711.5924305392864,3775.271387171998
2015-02-07,1207.0193685052043,-1604.386611082122,3694.1295427600294
2015-02-08,926.531641679743,-1897.763095492697,3249.612924477264
2015-02-11,458.2387648945353,-2276.0063044588055,3159.266660684136
2015-02-12,-61.72526861730424,-2779.541969611878,2573.459947835075
2015-02-14,842.1837505234871,-2106.444177932366,3372.9293405720337
2015-02-15,579.598174113853,-2283.1096464458797,3346.7594379366014
2015-02-16,479.10659052582855,-1966.8292963393108,3290.48474470588
2015-02-17,717.9045051845211,-2141.4104470390835,3582.6008458164506
2015-02-18,215.3152628386642,-2402.667641730098,3180.4068070665294
2015-02-20,397.16039336476604,-2386.2214314768134,3210.6802798089257
2015-02-21,765.5995211452116,-1912.9746013297186,3506.6515693849556
2015-02-22,567.5801044624924,-2180.5796105865234,3353.063631473836
2015-02-23,534.418357930045,-2077.231414598031,3424.1942113364476
2015-02-24,842.0998109817256,-1988.826560426802,3404.0449195624715
2015-02-27,722.3387637597239,-2040.8364543653674,3469.554800125041
2015-03-01,1009.7289782118078,-1597.0801951313117,3770.595567895643
2015-03-02,1026.304983563608,-1723.2490324747532,3839.0104187634256
2015-03-03,1376.8073367595152,-1610.4694948562958,4205.059451497078
2015-03-04,977.2887205638453,-1781.8999948955789,3598.3699144821326
2015-03-05,599.9542736980723,-2092.164106703238,3423.0417723632067
2015-03-07,1773.1162272025967,-812.4154884059334,4452.251507961562
